date,temperature_max,temperature_min,temperature_moyenne,precipitation_sum,vent_max,humidite_moyenne,pression_moyenne,latitude,longitude
2015-01-01,4.4,-0.9,1.3,0.0,26.1,82,1033.8,50.5,2.75
2015-01-02,10.9,2.6,7.1,0.1,31.3,79,1029.5,50.5,2.75
2015-01-03,10.8,2.1,4.3,9.7,30.3,92,1025.0,50.5,2.75
2015-01-04,4.9,0.8,3.2,0.0,9.6,87,1034.4,50.5,2.75
2015-01-05,5.2,-0.4,2.0,0.0,12.8,91,1032.6,50.5,2.75
2015-01-06,7.4,-1.7,2.1,0.0,19.4,92,1023.7,50.5,2.75
2015-01-07,6.0,-0.6,2.5,0.0,23.4,89,1027.7,50.5,2.75
2015-01-08,9.7,4.3,7.2,12.7,33.2,89,1023.1,50.5,2.75
2015-01-09,12.6,6.0,9.7,1.0,40.8,85,1022.8,50.5,2.75
2015-01-10,12.6,5.3,10.5,0.6,42.3,80,1016.7,50.5,2.75
2015-01-11,7.6,4.2,5.7,0.5,31.6,68,1022.6,50.5,2.75
2015-01-12,10.6,7.0,8.8,0.1,33.8,75,1017.6,50.5,2.75
2015-01-13,11.2,6.5,9.8,6.4,35.0,81,1006.7,50.5,2.75
2015-01-14,6.3,3.6,4.8,6.5,31.2,83,1009.5,50.5,2.75
2015-01-15,9.7,6.4,8.2,10.3,43.1,83,998.2,50.5,2.75
2015-01-16,8.3,3.0,5.4,1.9,25.2,81,1005.0,50.5,2.75
2015-01-17,5.1,-2.5,1.6,0.0,20.6,84,1014.4,50.5,2.75
2015-01-18,3.8,1.3,2.3,12.9,18.7,91,1012.1,50.5,2.75
2015-01-19,4.5,-0.7,1.9,3.8,11.5,91,1012.4,50.5,2.75
2015-01-20,3.0,-3.6,-0.5,0.0,11.3,93,1012.4,50.5,2.75
2015-01-21,3.4,-0.8,0.6,0.0,14.3,83,1009.8,50.5,2.75
2015-01-22,2.0,-2.6,-0.6,0.0,13.9,86,1017.3,50.5,2.75
2015-01-23,1.7,-1.2,-0.3,0.0,13.0,84,1025.7,50.5,2.75
2015-01-24,5.6,-1.0,2.4,5.5,26.1,83,1023.7,50.5,2.75
2015-01-25,7.0,0.3,3.1,0.0,14.5,87,1030.8,50.5,2.75
2015-01-26,9.0,4.4,7.0,1.0,18.2,91,1023.4,50.5,2.75
2015-01-27,6.9,1.4,4.0,0.2,16.0,89,1025.9,50.5,2.75
2015-01-28,7.8,3.5,5.3,2.0,34.9,84,1010.4,50.5,2.75
2015-01-29,5.1,1.3,2.9,8.7,24.8,86,989.1,50.5,2.75
2015-01-30,3.8,0.2,1.4,3.6,22.9,87,978.3,50.5,2.75
2015-01-31,3.8,-1.8,0.8,1.5,12.3,91,982.5,50.5,2.75
