espece,nom_scientifique,date_observation,latitude,longitude,precision_coordinate,pays,source,id_gbif
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-01-08,51.4,3.9,5000.0,Netherlands,GBIF,4881884490
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-01-02,51.4,3.9,5000.0,Netherlands,GBIF,4885294867
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-01-05,51.4,3.9,5000.0,Netherlands,GBIF,4885677627
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-01-08,51.4,3.9,5000.0,Netherlands,GBIF,4887159864
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-29T17:00,50.509927,2.59639,7.0,France,GBIF,4606830326
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-25,51.45,3.5,5000.0,Netherlands,GBIF,4880720498
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-31,51.3,3.85,,Netherlands,GBIF,4880904224
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-23,51.25,4.0,5000.0,Netherlands,GBIF,4880970691
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-31,50.847038,1.584239,3.0,France,GBIF,4881719112
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-29,51.5,3.55,5000.0,Netherlands,GBIF,4882101453
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-28,50.979563,2.55003,9.0,France,GBIF,4882691038
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-28,51.5,3.55,5000.0,Netherlands,GBIF,4882716006
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-30,51.3,3.45,5000.0,Netherlands,GBIF,4882993665
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-30,51.3,3.45,5000.0,Netherlands,GBIF,4882993676
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-28,51.25,4.0,5000.0,Netherlands,GBIF,4883029653
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-25,51.3,3.45,5000.0,Netherlands,GBIF,4883612922
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-29,51.5,3.55,5000.0,Netherlands,GBIF,4886081522
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-31,51.5,3.55,5000.0,Netherlands,GBIF,4886271831
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-30,51.5,3.55,5000.0,Netherlands,GBIF,4886370113
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-28,51.25,4.0,5000.0,Netherlands,GBIF,4886666397
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-29,51.5,3.55,5000.0,Netherlands,GBIF,4886929623
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-30,51.5,3.55,5000.0,Netherlands,GBIF,4887011309
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-23,51.25,4.0,5000.0,Netherlands,GBIF,4887308954
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-27,51.5,3.55,5000.0,Netherlands,GBIF,4887991104
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-31,50.46167,1.760103,3.0,France,GBIF,4888507263
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-29,50.779637,2.284229,30.0,France,GBIF,4888646431
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-27,51.5,3.55,5000.0,Netherlands,GBIF,4888834317
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-27,51.5,3.55,5000.0,Netherlands,GBIF,4889254759
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-31,50.667216,2.871714,32.0,France,GBIF,4889320921
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-31,51.45,3.5,5000.0,Netherlands,GBIF,4891394607
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-29,51.5,3.55,5000.0,Netherlands,GBIF,4891400634
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-29T00:00,49.900105,2.297594,250.0,France,GBIF,5020834178
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-23,51.04024,3.64899,707.0,Belgium,GBIF,5148693402
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-31,51.32968,3.16506,707.0,Belgium,GBIF,5148696356
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-24,51.05814,3.66351,707.0,Belgium,GBIF,5148723360
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-24,50.129906,1.772197,,France,GBIF,5296568026
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-24,50.129906,1.772197,,France,GBIF,5300467076
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-23,50.263504,1.585465,,France,GBIF,5305022211
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-30,51.04,3.788811,,Belgium,GBIF,5324874813
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-31,51.24893,2.958791,,Belgium,GBIF,5335707165
hirondelle_rustique,"Hirundo rustica Linnaeus, 1758",2024-03-24,51.307064,3.466981,,Netherlands,GBIF,5339039145
